Order ID,Order Date,Ship Date,Ship Mode,Customer Name,Segment,City,State,Region,Product ID,Sub-Category,Product Name,Sales,Quantity,Notmalized Quantity,Discount,Profit,Order Ship Difference,Order Year,Order Month,Ord_Month_Name,Unit Price,Price Category,Profit Ratio,Profit Ratio Category,Unit Profit Ratio,Quarter,Year-Quarter
CA-2016-152156,11/8/2016,11/11/2016,Second Class,Claire Gute,Consumer,Henderson,Kentucky,South,FUR-BO-10001798,Bookcases,Bush Somerset Collection Bookcase,261.96,2,0.142857143,0,41.9136,3,2016,11,Nov,130.98,Medium Price,0.16,Low Profit,0.08,Q4,2016 Q4
CA-2016-152156,11/8/2016,11/11/2016,Second Class,Claire Gute,Consumer,Henderson,Kentucky,South,FUR-CH-10000454,Chairs,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",731.94,3,0.214285714,0,219.582,3,2016,11,Nov,243.98,High Price,0.3,Medium Profit,0.1,Q4,2016 Q4
US-2015-108966,10/11/2015,10/18/2015,Standard Class,Sean O'Donnell,Consumer,Fort Lauderdale,Florida,South,FUR-TA-10000577,Tables,Bretford CR4500 Series Slim Rectangular Table,957.5775,5,0.357142857,0.45,-383.031,7,2015,10,Oct,191.5155,Medium Price,-0.4,Loss,-0.08,Q4,2015 Q4
CA-2014-115812,6/9/2014,6/14/2014,Standard Class,Brosina Hoffman,Consumer,Los Angeles,California,West,FUR-FU-10001487,Furnishings,"Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood",48.86,7,0.5,0,14.1694,5,2014,6,Jun,6.98,Low Price,0.29,Medium Profit,0.041428571,Q2,2014 Q2
CA-2014-115812,6/9/2014,6/14/2014,Standard Class,Brosina Hoffman,Consumer,Los Angeles,California,West,FUR-TA-10001539,Tables,Chromcraft Rectangular Conference Tables,1706.184,9,0.642857143,0.2,85.3092,5,2014,6,Jun,189.576,Medium Price,0.05,Low Profit,0.005555556,Q2,2014 Q2
US-2017-156909,7/16/2017,7/18/2017,Second Class,Sandra Flanagan,Consumer,Philadelphia,Pennsylvania,East,FUR-CH-10002774,Chairs,"Global Deluxe Stacking Chair, Gray",71.372,2,0.142857143,0.3,-1.0196,2,2017,7,Jul,35.686,Low Price,-0.014285714,Loss,-0.007142857,Q3,2017 Q3
CA-2015-106320,9/25/2015,9/30/2015,Standard Class,Emily Burns,Consumer,Orem,Utah,West,FUR-TA-10000577,Tables,Bretford CR4500 Series Slim Rectangular Table,1044.63,3,0.214285714,0,240.2649,5,2015,9,Sep,348.21,High Price,0.23,Medium Profit,0.076666667,Q3,2015 Q3
US-2015-150630,9/17/2015,9/21/2015,Standard Class,Tracy Blumstein,Consumer,Philadelphia,Pennsylvania,East,FUR-BO-10004834,Bookcases,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",3083.43,7,0.5,0.5,-1665.0522,4,2015,9,Sep,440.49,High Price,-0.54,Loss,-0.077142857,Q3,2015 Q3
US-2015-150630,9/17/2015,9/21/2015,Standard Class,Tracy Blumstein,Consumer,Philadelphia,Pennsylvania,East,FUR-FU-10004848,Furnishings,"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock",124.2,3,0.214285714,0.2,15.525,4,2015,9,Sep,41.4,Low Price,0.125,Low Profit,0.041666667,Q3,2015 Q3
CA-2016-117590,12/8/2016,12/10/2016,First Class,Gene Hale,Corporate,Richardson,Texas,Central,FUR-FU-10003664,Furnishings,"Electrix Architect's Clamp-On Swing Arm Lamp, Black",190.92,5,0.357142857,0.6,-147.963,2,2016,12,Dec,38.184,Low Price,-0.775,Loss,-0.155,Q4,2016 Q4
